Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64008264d623c6859cd792e2,5fa670417aaa09285126c6b9,APPROVED,2023-03-02T11:10:35.102000Z,2023-03-02T14:18:40.994000Z,2023-03-02T14:18:42.095000Z,,11286,Manual Completion,374,English,26,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Unemployed (and job seeking)
64008268fc713131458d91ff,602178572a566115b56056dd,AWAITING REVIEW,2023-03-02T11:04:22.574000Z,2023-03-02T12:35:16.405000Z,,2023-03-02T12:35:16.821294Z,5454,C15BMR3K,199,English,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6400827ad286c4151a8daffe,60b880518b31da36270782eb,APPROVED,2023-03-02T11:03:22.707000Z,2023-03-02T13:13:29.635000Z,2023-03-02T13:13:30.060000Z,,7807,Manual Completion,310,"English, Afrikaans",29,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
640082936d89b2027312ea4a,5fa7f2d31418d35a96331337,AWAITING REVIEW,2023-03-02T11:04:35.869000Z,2023-03-02T12:23:39.713000Z,,2023-03-02T12:23:40.140842Z,4744,C15BMR3K,340,English,35,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
640082a482e1c81cf8dbc76b,60b7ed35fdba3e674240d09a,APPROVED,2023-03-02T11:04:04.542000Z,2023-03-03T09:10:18.506000Z,2023-03-03T09:10:19.044000Z,,79574,Manual Completion,266,"Afrikaans, English",21,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
640082ccd2c47d7dca87110e,5f50df740cd9d52780816cca,AWAITING REVIEW,2023-03-02T11:08:22.767000Z,2023-03-02T11:52:51.356000Z,,2023-03-02T11:52:51.829360Z,2669,C15BMR3K,730,English,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
640082db0920b0faa0afed2d,5e831dfa79f7fb000c708f84,AWAITING REVIEW,2023-03-02T11:12:16.698000Z,2023-03-02T12:09:17.675000Z,,2023-03-02T12:09:18.102858Z,3421,C15BMR3K,643,English,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
640082e515f0473253257021,5b2150d538b0be00014137fb,AWAITING REVIEW,2023-03-02T11:05:09.203000Z,2023-03-02T12:36:29.121000Z,,2023-03-02T12:36:30.697874Z,5480,C15BMR3K,851,English,35,Male,Mixed,Australia,Australia,Australia,English,DATA_EXPIRED,Part-Time
6400830fe8cd3b064f1ce01c,5745a5ab5e549100063b1193,AWAITING REVIEW,2023-03-02T11:05:55.369000Z,2023-03-02T11:59:06.294000Z,,2023-03-02T11:59:06.716437Z,3191,C15BMR3K,455,"English, French, Gaelic, German, Italian",40,Female,White,Ireland,Ireland,Ireland,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6400834e860c77441bf30aa5,6053bf6fde6781a894aa3fdf,AWAITING REVIEW,2023-03-02T11:07:02.975000Z,2023-03-02T12:18:07.049000Z,,2023-03-02T12:18:07.622760Z,4265,C15BMR3K,117,English,26,Male,Mixed,South Africa,South Africa,South Africa,English,No,Part-Time
6400837322186177d350a07d,5c4484b7b00b3300018f7876,AWAITING REVIEW,2023-03-02T11:08:08.880000Z,2023-03-02T12:03:40.771000Z,,2023-03-02T12:03:41.586244Z,3332,C15BMR3K,485,English,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64008376a1fdf36f9d3b204d,5e28416395734f011f719c12,AWAITING REVIEW,2023-03-02T11:08:15.936000Z,2023-03-02T11:58:41.590000Z,,2023-03-02T11:58:42.148212Z,3026,C15BMR3K,95,English,33,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
640083879e5fa5e2d950a07c,6078941143fd5306c860164f,AWAITING REVIEW,2023-03-02T11:07:51.205000Z,2023-03-02T12:25:13.580000Z,,2023-03-02T12:25:14.235485Z,4643,C15BMR3K,167,"English, Afrikaans",22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
6400838bc210d2a8f8710a18,609d8a9bcd1d366a1e6e7148,AWAITING REVIEW,2023-03-02T11:08:03.093000Z,2023-03-02T11:36:29.233000Z,,2023-03-02T11:36:30.287846Z,1707,C15BMR3K,95,"English, Estonian",28,Female,White,Estonia,Estonia,Estonia,English,No,Full-Time
