pid,condition,stage,feedbackOn,trialsComplete,famInd,features,rule,responseOrder,correctResponse,guess,confidence,correct,rt,numTrainTrials,count
55d6e23469dbc30010b66dc3,free,epochs,True,1,4,"[4, 6]",fi,"[6, 7]",7,6,0.27,False,14236,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,2,1,"[4, 4]",fi,"[2, 0]",2,0,0.3,False,7542,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,3,3,"[3, 3]",fi,"[3, 5]",3,5,0.24,False,7085,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,4,4,"[5, 3]",fi,"[6, 7]",7,7,1.0,True,5589,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,5,1,"[5, 1]",fi,"[2, 0]",0,2,1.0,False,4555,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,6,3,"[4, 2]",fi,"[5, 3]",3,3,0.62,True,5059,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,7,1,"[1, 5]",fi,"[0, 2]",0,0,0.68,True,11321,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,8,3,"[2, 6]",fi,"[3, 5]",5,3,1.0,False,4083,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,9,4,"[5, 4]",fi,"[6, 7]",7,7,0.7000000000000001,True,9487,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,10,1,"[1, 2]",fi,"[2, 0]",0,0,0.39,True,14996,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,11,1,"[1, 4]",fi,"[2, 0]",0,0,1.0,True,4623,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,12,3,"[6, 6]",fi,"[5, 3]",5,5,1.0,True,7662,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,13,3,"[2, 4]",fi,"[3, 5]",3,3,1.0,True,5267,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,14,1,"[4, 1]",fi,"[2, 0]",0,0,1.0,True,9541,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,15,1,"[5, 4]",fi,"[2, 0]",2,0,0.63,False,15603,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,16,1,"[3, 5]",fi,"[0, 2]",2,0,1.0,False,6021,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,17,1,"[5, 5]",fi,"[2, 0]",2,2,1.0,True,7436,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,18,1,"[2, 4]",fi,"[0, 2]",0,0,1.0,True,9561,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,19,1,"[2, 3]",fi,"[0, 2]",0,0,1.0,True,8235,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,20,4,"[1, 5]",fi,"[7, 6]",6,7,0.5,False,10663,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,21,4,"[5, 5]",fi,"[7, 6]",7,7,1.0,True,6289,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,22,4,"[4, 2]",fi,"[7, 6]",6,7,0.63,False,4990,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,23,4,"[6, 3]",fi,"[7, 6]",7,7,1.0,True,12656,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,24,4,"[1, 3]",fi,"[6, 7]",6,6,1.0,True,5235,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,25,3,"[5, 3]",fi,"[3, 5]",5,3,0.72,False,8168,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,26,3,"[1, 5]",fi,"[3, 5]",3,5,1.0,False,5863,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,27,3,"[1, 3]",fi,"[5, 3]",3,5,1.0,False,6445,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,28,3,"[2, 3]",fi,"[5, 3]",3,3,0.75,True,5841,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,29,3,"[5, 1]",fi,"[3, 5]",3,3,0.77,True,6287,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,30,3,"[1, 2]",fi,"[5, 3]",3,5,0.6000000000000001,False,9641,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,31,4,"[5, 6]",fi,"[7, 6]",7,7,1.0,True,13615,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,32,4,"[4, 1]",fi,"[7, 6]",6,6,0.89,True,11083,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,33,4,"[3, 1]",fi,"[7, 6]",6,6,0.8300000000000001,True,15753,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,34,4,"[2, 6]",fi,"[6, 7]",7,7,0.88,True,7322,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,35,1,"[2, 1]",fi,"[2, 0]",0,0,0.86,True,9003,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,36,1,"[4, 2]",fi,"[2, 0]",0,2,0.59,False,13273,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,37,1,"[2, 6]",fi,"[0, 2]",2,0,0.75,False,9734,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,38,1,"[6, 3]",fi,"[0, 2]",2,2,0.66,True,20951,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,39,1,"[3, 2]",fi,"[0, 2]",0,0,0.92,True,7424,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,40,1,"[3, 1]",fi,"[2, 0]",0,0,1.0,True,6154,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,41,1,"[3, 3]",fi,"[2, 0]",0,2,0.49,False,9903,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,42,1,"[6, 5]",fi,"[0, 2]",2,2,0.85,True,8710,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,43,1,"[4, 5]",fi,"[2, 0]",2,2,1.0,True,8144,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,44,1,"[6, 4]",fi,"[0, 2]",2,2,1.0,True,7470,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,45,1,"[2, 2]",fi,"[0, 2]",0,0,1.0,True,6296,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,46,1,"[1, 1]",fi,"[2, 0]",0,0,1.0,True,6230,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,47,1,"[1, 3]",fi,"[2, 0]",0,2,0.99,False,13096,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,48,3,"[5, 4]",fi,"[5, 3]",5,5,0.71,True,9232,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,49,3,"[4, 6]",fi,"[3, 5]",5,3,0.73,False,7049,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,50,3,"[5, 6]",fi,"[3, 5]",5,3,1.0,False,11090,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,51,3,"[6, 3]",fi,"[3, 5]",5,5,1.0,True,7211,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,52,3,"[6, 5]",fi,"[5, 3]",5,5,0.79,True,9454,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,53,3,"[4, 1]",fi,"[3, 5]",3,3,0.62,True,7464,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,54,3,"[3, 5]",fi,"[5, 3]",5,5,1.0,True,8818,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,55,3,"[5, 5]",fi,"[5, 3]",5,5,1.0,True,7928,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,56,3,"[4, 4]",fi,"[3, 5]",5,5,1.0,True,8579,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,57,4,"[1, 1]",fi,"[6, 7]",6,7,0.6900000000000001,False,8486,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,58,4,"[3, 2]",fi,"[7, 6]",6,6,0.49,True,6370,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,59,4,"[3, 5]",fi,"[6, 7]",7,6,0.58,False,5210,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,60,4,"[6, 5]",fi,"[7, 6]",7,7,0.79,True,5482,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,61,4,"[4, 5]",fi,"[6, 7]",7,7,0.38,True,6915,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,62,4,"[4, 4]",fi,"[7, 6]",7,6,0.45,False,8732,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,63,4,"[3, 6]",fi,"[7, 6]",7,6,0.51,False,8125,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,64,4,"[2, 1]",fi,"[7, 6]",6,7,0.34,False,7497,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,65,4,"[2, 2]",fi,"[7, 6]",6,7,0.6000000000000001,False,8374,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,66,4,"[6, 6]",fi,"[7, 6]",7,7,0.77,True,5605,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,67,4,"[6, 2]",fi,"[7, 6]",7,7,1.0,True,4086,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,68,4,"[5, 1]",fi,"[7, 6]",6,7,0.73,False,4766,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,69,4,"[1, 2]",fi,"[6, 7]",6,7,0.42,False,5215,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,70,4,"[6, 4]",fi,"[6, 7]",7,7,0.5700000000000001,True,6606,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,71,4,"[2, 4]",fi,"[6, 7]",6,7,0.24,False,6420,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,72,4,"[1, 4]",fi,"[7, 6]",6,7,0.45,False,4798,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,73,4,"[3, 3]",fi,"[6, 7]",6,7,0.48,False,6447,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,74,1,"[5, 6]",fi,"[0, 2]",2,2,0.39,True,7736,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,75,1,"[6, 6]",fi,"[2, 0]",2,2,1.0,True,6247,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,76,1,"[4, 6]",fi,"[2, 0]",2,2,0.8300000000000001,True,7751,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,77,1,"[3, 6]",fi,"[2, 0]",2,2,1.0,True,4037,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,78,1,"[6, 2]",fi,"[0, 2]",2,0,0.42,False,8823,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,79,1,"[5, 3]",fi,"[2, 0]",2,2,0.41,True,8832,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,80,1,"[4, 5]",fi,"[2, 0]",2,2,1.0,True,4339,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,81,1,"[5, 3]",fi,"[0, 2]",2,2,0.75,True,11286,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,82,1,"[1, 3]",fi,"[2, 0]",0,0,1.0,True,8135,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,83,1,"[5, 6]",fi,"[2, 0]",2,2,1.0,True,6539,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,84,1,"[6, 3]",fi,"[0, 2]",2,2,1.0,True,14590,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,85,1,"[2, 2]",fi,"[2, 0]",0,0,1.0,True,6769,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,86,3,"[3, 6]",fi,"[5, 3]",5,5,0.36,True,5643,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,87,3,"[6, 2]",fi,"[5, 3]",5,3,0.47,False,7982,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,88,3,"[3, 2]",fi,"[5, 3]",3,5,0.62,False,5599,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,89,3,"[1, 4]",fi,"[3, 5]",3,5,0.38,False,8892,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,90,3,"[1, 1]",fi,"[3, 5]",3,3,0.5,True,12685,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,91,3,"[2, 2]",fi,"[5, 3]",3,3,0.52,True,9074,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,92,3,"[6, 4]",fi,"[3, 5]",5,5,0.74,True,8606,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,93,3,"[4, 5]",fi,"[3, 5]",5,5,1.0,True,21439,180,1
55d6e23469dbc30010b66dc3,free,epochs,True,94,3,"[2, 1]",fi,"[3, 5]",3,5,1.0,False,15314,180,1
