Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6400baf38f877918fc0c24c3,5cacc30ef7db0100175998e7,AWAITING REVIEW,2023-03-02T15:04:26.389000Z,2023-03-02T16:00:03.943000Z,,2023-03-02T16:00:05.398107Z,3338,C15BMR3K,74,English,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6400bb20ea074ed5b3af8dbe,5eec9ed2f32dc20379a7934f,AWAITING REVIEW,2023-03-02T15:06:15.395000Z,2023-03-02T16:23:08.139000Z,,2023-03-02T16:23:08.497813Z,4613,C15BMR3K,442,"English, Urdu",28,Male,Asian,Pakistan,Australia,Australia,English,DATA_EXPIRED,DATA_EXPIRED
6400bb6005bf65f60047962f,5c5a000eb7edc10001a7ee16,AWAITING REVIEW,2023-03-02T15:06:08.826000Z,2023-03-02T16:08:49.910000Z,,2023-03-02T16:08:52.018944Z,3762,C15BMR3K,1228,English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6400bb9a199b4b8af7e939a5,606f277cdd257dea5536d322,AWAITING REVIEW,2023-03-02T15:07:11.264000Z,2023-03-02T16:19:14.808000Z,,2023-03-02T16:19:15.247703Z,4324,C15BMR3K,149,"English, Dutch, German, Italian, French, Spanish",32,Female,White,Ireland,Ireland,Ireland,English,Yes,Full-Time
6400bbf644d3b632fa503431,611bf01adb826b006f4a82ef,AWAITING REVIEW,2023-03-02T15:08:49.233000Z,2023-03-02T16:11:28.663000Z,,2023-03-02T16:11:29.640975Z,3760,C15BMR3K,383,English,26,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6400bc41a4563e249536f696,60a165177c992cb8b48a332f,AWAITING REVIEW,2023-03-02T15:10:17.113000Z,2023-03-02T16:50:20.714000Z,,2023-03-02T16:50:21.226854Z,6004,C15BMR3K,181,English,37,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6400bc8dd52340b583bc9d35,6089ccf43f43e48ba34f3d61,AWAITING REVIEW,2023-03-02T15:11:13.650000Z,2023-03-02T15:59:15.659000Z,,2023-03-02T15:59:16.077346Z,2883,C15BMR3K,206,"Arabic, Polish, English",30,Male,Other,Canada,Canada,Canada,English,No,Due to start a new job within the next month
6400bcdbb908b1e60e56d925,60dcda8692f09f402fad8566,AWAITING REVIEW,2023-03-02T15:12:34.520000Z,2023-03-02T16:45:49.895000Z,,2023-03-02T16:45:50.297655Z,5596,C15BMR3K,160,English,26,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time
6400bcdd424c70cb5a56d8cd,59d6a195f50cfe000125da5f,AWAITING REVIEW,2023-03-02T15:12:33.735000Z,2023-03-02T15:55:30.139000Z,,2023-03-02T15:55:30.581654Z,2577,C15BMR3K,641,English,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6400bce274194fd92895529b,6018534e0c293609da7a8f8e,AWAITING REVIEW,2023-03-02T15:12:34.815000Z,2023-03-02T16:22:24.239000Z,,2023-03-02T16:22:24.735137Z,4190,C15BMR3K,330,English,41,Male,Black,Zimbabwe,Italy,Zimbabwe,English,No,Unemployed (and job seeking)
6400bd0a71ec2ba6a9474170,5c65bffe5aa5610001dd6338,AWAITING REVIEW,2023-03-02T15:16:21.290000Z,2023-03-02T16:08:35.303000Z,,2023-03-02T16:08:35.734211Z,3135,C15BMR3K,148,English,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6400bd0b2dc0bae8c362fcc0,603fad5084b4750912f77008,AWAITING REVIEW,2023-03-02T15:13:23.420000Z,2023-03-02T16:14:22.188000Z,,2023-03-02T16:16:01.854542Z,3659,C15BMR3K,52,English,39,Female,White,Canada,Canada,Canada,English,No,DATA_EXPIRED
6400bd3a4f75f5b85ec31521,60febe4bb7d1055665da0413,AWAITING REVIEW,2023-03-02T15:14:06.960000Z,2023-03-02T16:18:05.187000Z,,2023-03-02T16:18:15.518417Z,3839,C15BMR3K,449,"Spanish, English",46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6400bd4b63f7f63eba657325,605d5a6066ab82b353e53c15,REJECTED,2023-03-02T15:14:19.935000Z,2023-03-02T15:23:31.753000Z,2023-03-02T15:55:58.321000Z,2023-03-02T15:23:32.308000Z,552,NOCODE,303,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6400bdd6711517835de93a34,5fb6bb7c19e6d00f86af4633,AWAITING REVIEW,2023-03-02T15:18:22.063000Z,2023-03-02T16:46:27.343000Z,,2023-03-02T16:46:27.786502Z,5286,C15BMR3K,346,English,24,Female,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
6400bdf9023754ab00b1cbfa,61bb371940db417c1a1389b4,AWAITING REVIEW,2023-03-02T15:17:16.698000Z,2023-03-02T16:18:28.990000Z,,2023-03-02T16:18:35.665207Z,3673,C15BMR3K,192,English,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6400be0c00733a36eefce223,604bd226587ce0cb9d88c8f6,AWAITING REVIEW,2023-03-02T15:17:44.761000Z,2023-03-02T16:35:23.503000Z,,2023-03-02T16:35:26.447498Z,4659,C15BMR3K,200,"Afrikaans, English",39,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6400be48c34776df08e0630e,5be4776ad3283000016752e4,AWAITING REVIEW,2023-03-02T15:20:31.489000Z,2023-03-02T16:05:02.085000Z,,2023-03-02T16:05:02.565545Z,2671,C15BMR3K,390,English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6400be4a7672f2bd59947573,60471ddd0b6ed718cb843760,AWAITING REVIEW,2023-03-02T15:18:40.303000Z,2023-03-02T17:02:19.116000Z,,2023-03-02T17:02:19.961841Z,6219,C15BMR3K,73,English,40,Female,Black,South Africa,South Africa,South Africa,English,No,Part-Time
6400be808a26c065930c252d,5f6388c21b14c5079764e750,AWAITING REVIEW,2023-03-02T15:19:31.477000Z,2023-03-02T16:07:43.880000Z,,2023-03-02T16:07:47.626133Z,2893,C15BMR3K,1435,English,33,Male,White,Japan,United Kingdom,United States,English,No,Unemployed (and job seeking)
