Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
640743b5dd8f5a442ed83a3b,63eb94b87f4dff9de49cccad,APPROVED,2023-03-07T14:02:31.365000Z,2023-03-07T14:49:12.461000Z,2023-03-09T15:27:48.732000,2023-03-07T14:49:12.904556Z,2802,C15BMR3K,5,English,23,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6407441bcfdd3b3f373dbeb7,63e3ae9a69fe37cb356d7867,APPROVED,2023-03-07T14:04:44.277000Z,2023-03-07T14:05:40.005000Z,2023-03-09T15:27:49.241000,2023-03-07T14:05:40.393032Z,56,63e3ae9a69fe37cb356d7867,5,English,75,Male,White,New Zealand,United Kingdom,New Zealand,English,No,Part-Time
64074484c0b32ce0c0b39a06,60e99d21ee0ee2ea2ed16e3e,APPROVED,2023-03-07T14:06:13.664000Z,2023-03-07T14:48:29.502000Z,2023-03-09T15:28:23.282000,2023-03-07T14:48:29.926079Z,2536,C15BMR3K,162,English,33,Female,White,Ireland,Ireland,Ireland,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6407449d6c71bd190b9bc73a,5d68788abf94e2001cd4d808,APPROVED,2023-03-07T14:05:32.992000Z,2023-03-07T15:48:06.437000Z,2023-03-09T15:28:23.657000,2023-03-07T15:48:06.856709Z,6154,C15BMR3K,100,English,28,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6407451d927898cf70d9b6e7,60ae466c237c5cf5e33e3df3,APPROVED,2023-03-07T14:13:34.432000Z,2023-03-07T15:53:42.690000Z,2023-03-09T15:27:49.693000,2023-03-07T15:53:43.137354Z,6009,C15BMR3K,319,English,27,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
64074529a25763e839ea3a85,63039add5b36e081a5387f95,APPROVED,2023-03-07T14:07:37.010000Z,2023-03-07T15:24:50.031000Z,2023-03-09T15:27:50.494000,2023-03-07T15:24:50.419885Z,4634,C15BMR3K,136,English,30,Male,Black,DATA_EXPIRED,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
640745644909d555ce65389e,5c689deb8654fe00018d5606,APPROVED,2023-03-07T14:08:36.441000Z,2023-03-07T15:23:15.762000Z,2023-03-09T15:27:50.936000,2023-03-07T15:23:16.937191Z,4480,C15BMR3K,1049,"Spanish, English, Portuguese",34,Male,White,United States,Portugal,United States,English,Yes,Full-Time
64074586fb2a20758770420c,632c78dac01ee4ebd60f742c,APPROVED,2023-03-07T14:09:16.664000Z,2023-03-07T15:33:13.609000Z,2023-03-09T15:27:51.395000,2023-03-07T15:33:14.032580Z,5037,C15BMR3K,65,English,22,Male,Mixed,Italy,United Kingdom,Nigeria,English,Yes,Part-Time
640745b554a9d04b01a14190,5870336cdb3e720001e230cd,APPROVED,2023-03-07T14:12:51.885000Z,2023-03-07T15:17:43.478000Z,2023-03-09T15:28:24.032000,2023-03-07T15:17:43.943337Z,3892,C15BMR3K,1001,English,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
640745caae9d91f43cf2526b,593e307c48df7100015e518c,APPROVED,2023-03-07T14:10:22.065000Z,2023-03-07T15:57:31.632000Z,2023-03-09T15:28:24.417000,2023-03-07T15:57:32.350513Z,6430,C15BMR3K,599,English,28,Female,White,Australia,Australia,Australia,English,No,DATA_EXPIRED
640745faeaf32ae9435464e7,5fa9628fcfe3fe0d2fd65062,APPROVED,2023-03-07T14:12:58.872000Z,2023-03-07T15:53:25.084000Z,2023-03-09T15:28:24.812000,2023-03-07T15:53:25.420764Z,6027,C15BMR3K,445,"Afrikaans, English",49,Female,Asian,South Africa,South Africa,South Africa,English,No,Part-Time
6407461774af1db79d823529,607762b965797cadb636dfa6,APPROVED,2023-03-07T14:21:17.626000Z,2023-03-07T16:04:17Z,2023-03-09T15:28:25.526000,2023-03-07T16:04:20.124990Z,6180,C15BMR3K,352,English,32,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6407463754a9d04b01a1419c,59a6aa43b2130b000179d303,APPROVED,2023-03-07T14:12:07.191000Z,2023-03-07T14:52:08.588000Z,2023-03-09T15:28:25.896000,2023-03-07T14:52:28.604312Z,2402,C15BMR3K,933,English,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6407463a8d3fd12928a9a63d,60a9455edf704176d918fbaa,APPROVED,2023-03-07T14:12:10.274000Z,2023-03-07T15:35:02.350000Z,2023-03-09T15:27:51.830000,2023-03-07T15:35:28.341761Z,4973,C15BMR3K,258,"Afrikaans, English",24,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
64074648351edaaa95587b17,60b75cd79593a0a6020968f7,APPROVED,2023-03-07T14:12:34.688000Z,2023-03-07T15:04:08.078000Z,2023-03-09T15:27:52.279000,2023-03-07T15:04:08.774459Z,3094,C15BMR3K,216,English,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6407465a533ba9474ece4bc2,63d00e3cea3280c3ed8a340c,APPROVED,2023-03-07T14:21:41.663000Z,2023-03-07T15:11:45.340000Z,2023-03-09T15:28:26.258000,2023-03-07T15:11:45.788775Z,3004,C15BMR3K,30,"English, German",40,Female,White,Germany,United Kingdom,Germany,English,No,Other
6407465ca4a7dd6aee482ae2,5e9fd839311b8018f88c99eb,APPROVED,2023-03-07T14:13:21.436000Z,2023-03-07T15:59:44.818000Z,2023-03-09T15:28:26.643000,2023-03-07T15:59:45.229782Z,6384,C15BMR3K,265,English,49,Female,Black,Zambia,South Africa,Zambia,English,No,Full-Time
64074661ee2b092084695f7c,5a04ccfef2e3460001edadef,APPROVED,2023-03-07T14:12:49.607000Z,2023-03-07T15:12:13.237000Z,2023-03-09T15:28:27.009000,2023-03-07T15:12:13.853039Z,3564,C15BMR3K,1520,English,67,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6407466456f438645f9a9e0c,636543751e9791c17abc6aab,APPROVED,2023-03-07T14:12:52.922000Z,2023-03-07T14:43:36.470000Z,2023-03-09T15:27:52.720000,2023-03-07T14:43:37.556294Z,1844,C15BMR3K,209,English,41,Male,White,Germany,United Kingdom,United Kingdom,English,Yes,Full-Time
6407466e54a9d04b01a141a6,5eda56d66594866448d580c8,APPROVED,2023-03-07T14:13:06.990000Z,2023-03-07T15:01:39.566000Z,2023-03-09T15:28:27.378000,2023-03-07T15:01:39.994566Z,2913,C15BMR3K,458,English,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6407466e9f5706a5a29a9e63,5a50fab2f6c517000194760b,APPROVED,2023-03-07T14:13:06.728000Z,2023-03-07T15:13:12.971000Z,2023-03-09T15:28:27.771000,2023-03-07T15:13:14.123095Z,3607,C15BMR3K,834,"English, French",65,Female,White,Canada,United States,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6407468dde219e357e1cc304,5e4581956c3d44068924b616,APPROVED,2023-03-07T14:13:39.961000Z,2023-03-07T15:10:09.554000Z,2023-03-09T15:28:28.139000,2023-03-07T15:10:10.543129Z,3390,C15BMR3K,88,English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
64074699e3b3245b74fa25d3,6164822d9cde4e525a7c9e6f,APPROVED,2023-03-07T14:13:48.493000Z,2023-03-07T14:59:23.370000Z,2023-03-09T15:28:28.526000,2023-03-07T14:59:23.798535Z,2735,C15BMR3K,297,English,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
