condition,famInd,features,trialsComplete,correct,pid,stage,f0,f1,catBoundDist
free,4,"[4, 6]",1,False,55d6e23469dbc30010b66dc3,epochs,4,6,3
free,1,"[4, 4]",2,False,55d6e23469dbc30010b66dc3,epochs,4,4,1
free,3,"[3, 3]",3,False,55d6e23469dbc30010b66dc3,epochs,3,3,1
free,4,"[5, 3]",4,True,55d6e23469dbc30010b66dc3,epochs,5,3,1
free,1,"[5, 1]",5,False,55d6e23469dbc30010b66dc3,epochs,5,1,1
free,3,"[4, 2]",6,True,55d6e23469dbc30010b66dc3,epochs,4,2,1
free,1,"[1, 5]",7,True,55d6e23469dbc30010b66dc3,epochs,1,5,1
free,3,"[2, 6]",8,False,55d6e23469dbc30010b66dc3,epochs,2,6,1
free,4,"[5, 4]",9,True,55d6e23469dbc30010b66dc3,epochs,5,4,2
free,1,"[1, 2]",10,True,55d6e23469dbc30010b66dc3,epochs,1,2,4
free,1,"[1, 4]",11,True,55d6e23469dbc30010b66dc3,epochs,1,4,2
free,3,"[6, 6]",12,True,55d6e23469dbc30010b66dc3,epochs,6,6,5
free,3,"[2, 4]",13,True,55d6e23469dbc30010b66dc3,epochs,2,4,1
free,1,"[4, 1]",14,True,55d6e23469dbc30010b66dc3,epochs,4,1,2
free,1,"[5, 4]",15,False,55d6e23469dbc30010b66dc3,epochs,5,4,2
free,1,"[3, 5]",16,False,55d6e23469dbc30010b66dc3,epochs,3,5,1
free,1,"[5, 5]",17,True,55d6e23469dbc30010b66dc3,epochs,5,5,3
free,1,"[2, 4]",18,True,55d6e23469dbc30010b66dc3,epochs,2,4,1
free,1,"[2, 3]",19,True,55d6e23469dbc30010b66dc3,epochs,2,3,2
free,4,"[1, 5]",20,False,55d6e23469dbc30010b66dc3,epochs,1,5,1
free,4,"[5, 5]",21,True,55d6e23469dbc30010b66dc3,epochs,5,5,3
free,4,"[4, 2]",22,False,55d6e23469dbc30010b66dc3,epochs,4,2,1
free,4,"[6, 3]",23,True,55d6e23469dbc30010b66dc3,epochs,6,3,2
free,4,"[1, 3]",24,True,55d6e23469dbc30010b66dc3,epochs,1,3,3
free,3,"[5, 3]",25,False,55d6e23469dbc30010b66dc3,epochs,5,3,1
free,3,"[1, 5]",26,False,55d6e23469dbc30010b66dc3,epochs,1,5,1
free,3,"[1, 3]",27,False,55d6e23469dbc30010b66dc3,epochs,1,3,3
free,3,"[2, 3]",28,True,55d6e23469dbc30010b66dc3,epochs,2,3,2
free,3,"[5, 1]",29,True,55d6e23469dbc30010b66dc3,epochs,5,1,1
free,3,"[1, 2]",30,False,55d6e23469dbc30010b66dc3,epochs,1,2,4
free,4,"[5, 6]",31,True,55d6e23469dbc30010b66dc3,epochs,5,6,4
free,4,"[4, 1]",32,True,55d6e23469dbc30010b66dc3,epochs,4,1,2
free,4,"[3, 1]",33,True,55d6e23469dbc30010b66dc3,epochs,3,1,3
free,4,"[2, 6]",34,True,55d6e23469dbc30010b66dc3,epochs,2,6,1
free,1,"[2, 1]",35,True,55d6e23469dbc30010b66dc3,epochs,2,1,4
free,1,"[4, 2]",36,False,55d6e23469dbc30010b66dc3,epochs,4,2,1
free,1,"[2, 6]",37,False,55d6e23469dbc30010b66dc3,epochs,2,6,1
free,1,"[6, 3]",38,True,55d6e23469dbc30010b66dc3,epochs,6,3,2
free,1,"[3, 2]",39,True,55d6e23469dbc30010b66dc3,epochs,3,2,2
free,1,"[3, 1]",40,True,55d6e23469dbc30010b66dc3,epochs,3,1,3
free,1,"[3, 3]",41,False,55d6e23469dbc30010b66dc3,epochs,3,3,1
free,1,"[6, 5]",42,True,55d6e23469dbc30010b66dc3,epochs,6,5,4
free,1,"[4, 5]",43,True,55d6e23469dbc30010b66dc3,epochs,4,5,2
free,1,"[6, 4]",44,True,55d6e23469dbc30010b66dc3,epochs,6,4,3
free,1,"[2, 2]",45,True,55d6e23469dbc30010b66dc3,epochs,2,2,3
free,1,"[1, 1]",46,True,55d6e23469dbc30010b66dc3,epochs,1,1,5
free,1,"[1, 3]",47,False,55d6e23469dbc30010b66dc3,epochs,1,3,3
free,3,"[5, 4]",48,True,55d6e23469dbc30010b66dc3,epochs,5,4,2
free,3,"[4, 6]",49,False,55d6e23469dbc30010b66dc3,epochs,4,6,3
free,3,"[5, 6]",50,False,55d6e23469dbc30010b66dc3,epochs,5,6,4
free,3,"[6, 3]",51,True,55d6e23469dbc30010b66dc3,epochs,6,3,2
free,3,"[6, 5]",52,True,55d6e23469dbc30010b66dc3,epochs,6,5,4
