Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63b2bb619e48bbffad9cf4dc,5df7a5766887bc54aa8078a9,AWAITING REVIEW,2023-01-02T11:09:21.137000Z,2023-01-02T11:57:15.918000Z,,2023-01-02T11:57:16.352695Z,2875,C15BMR3K,127,"Greek, English",21,Female,White,Greece,Greece,Greece,Greek,DATA_EXPIRED,Unemployed (and job seeking)
63b2bb648c000436b89cf4de,5cb6d6608f7ee10016e5abd7,AWAITING REVIEW,2023-01-02T11:09:24.228000Z,2023-01-02T11:48:32.425000Z,,2023-01-02T11:48:32.748503Z,2349,C15BMR3K,138,"English, Polish, Russian",29,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
63b2bb6733ee948db06f29ef,5e2cf87d49436731eac78e46,AWAITING REVIEW,2023-01-02T11:09:31.195000Z,2023-01-02T11:41:21.743000Z,,2023-01-02T11:41:22.360691Z,1911,C15BMR3K,385,"English, Portuguese",39,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
63b2bb6b8322dd7ca9b37db7,5eebbbf5978e4d39dd21580a,AWAITING REVIEW,2023-01-02T11:09:31.060000Z,2023-01-02T11:45:42.136000Z,,2023-01-02T11:45:42.460096Z,2172,C15BMR3K,60,"English, Portuguese",22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63b2bb6e9bc1dd7c5065d687,60b87f3ca1dbf6bb340c9bb0,AWAITING REVIEW,2023-01-02T11:09:34.226000Z,2023-01-02T11:40:23.156000Z,,2023-01-02T11:40:23.493680Z,1849,C15BMR3K,188,"English, Polish",20,Male,White,Poland,Poland,Poland,Polish,Yes,Other
63b2bb7196508e9b4a26b7ac,610173f93632b8b45c2130a7,AWAITING REVIEW,2023-01-02T11:09:37.683000Z,2023-01-02T11:40:35.713000Z,,2023-01-02T11:40:36.135130Z,1859,C15BMR3K,135,"Polish, English, German, Norwegian, Ukrainian",19,Female,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
63b2bb7525a8053941a95c58,6106c5624da5dabd8b780133,AWAITING REVIEW,2023-01-02T11:09:41.733000Z,2023-01-02T11:50:06.341000Z,,2023-01-02T11:50:06.757890Z,2425,C15BMR3K,164,"English, Greek",21,Female,White,Greece,Greece,Greece,Greek,Yes,Unemployed (and job seeking)
63b2bb8133085febfe3dcab2,5d00d65e6645240019b98b0a,AWAITING REVIEW,2023-01-02T11:15:34.270000Z,2023-01-02T11:57:14.352000Z,,2023-01-02T11:57:14.730414Z,2501,C15BMR3K,349,"English, Portuguese",26,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
63b2bb835f68b161ca65da8e,603ce82991e3f8aed1ffc327,AWAITING REVIEW,2023-01-02T11:09:55.788000Z,2023-01-02T11:33:31.509000Z,,2023-01-02T11:33:31.830594Z,1416,C15BMR3K,272,"English, Polish",20,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
63b2bb83bd8dd6457e2afc96,5d511705f61908000160a772,AWAITING REVIEW,2023-01-02T11:09:55.535000Z,2023-01-02T11:37:59.054000Z,,2023-01-02T11:37:59.573740Z,1684,C15BMR3K,548,"Polish, English",38,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
63b2bb8580c1fa2eba3672a6,616ddbb10e3c5051eef2abdb,AWAITING REVIEW,2023-01-02T11:10:08.965000Z,2023-01-02T12:37:13.661000Z,,2023-01-02T12:37:14.159597Z,5225,C15BMR3K,130,English,28,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
63b2bb8b4fc737685be0bf74,5f91f00bfb9afc0e72142aac,AWAITING REVIEW,2023-01-02T11:10:03.780000Z,2023-01-02T12:00:00.531000Z,,2023-01-02T12:00:00.947364Z,2997,C15BMR3K,249,"English, Polish",32,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
63b2bb8cc9fd4983dd6f29ec,60fd0ad0a9a6b47d7adfeae0,AWAITING REVIEW,2023-01-02T11:12:43.336000Z,2023-01-02T11:51:47.559000Z,,2023-01-02T11:51:48.151868Z,2345,C15BMR3K,199,"Catalan, Spanish, English, Italian",32,Female,White,Spain,Spain,Spain,Spanish,No,Full-Time
63b2bb8d3d6be10653666fdd,611d762287bd19587be1b399,AWAITING REVIEW,2023-01-02T11:10:05.043000Z,2023-01-02T12:55:12.969000Z,,2023-01-02T12:55:13.397009Z,6308,C15BMR3K,100,English,28,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
63b2bb8d44a6c4ff1858140d,5ed590bf481c4512b168946f,AWAITING REVIEW,2023-01-02T11:10:05.453000Z,2023-01-02T11:42:35.709000Z,,2023-01-02T11:42:36.107465Z,1951,C15BMR3K,477,"Hungarian, English",29,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
63b2bb8ee11e2c82121ac3ed,5ed0970848b82b17cc4cc542,AWAITING REVIEW,2023-01-02T11:10:06.616000Z,2023-01-02T12:37:47.120000Z,,2023-01-02T12:37:47.529257Z,5261,C15BMR3K,28,"English, Portuguese, Spanish",30,Male,White,Brazil,Spain,Brazil,Spanish,No,Part-Time
63b2bb9045ae9fdc2fb9df03,60367bf5d64de8e106c790ab,AWAITING REVIEW,2023-01-02T11:10:08.111000Z,2023-01-02T11:41:24.178000Z,,2023-01-02T11:41:24.578360Z,1877,C15BMR3K,16,"English, Greek",25,Male,White,Greece,Greece,Greece,Greek,Yes,Full-Time
63b2bc711d45d5b9148a59e1,5d60061e45714d00019ad6a4,AWAITING REVIEW,2023-01-02T11:13:53.253000Z,2023-01-02T11:57:54.171000Z,,2023-01-02T11:57:54.615840Z,2641,C15BMR3K,754,"Spanish, English",35,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time
63b2bc91ddea9e67946f9991,60ef5b1cf52939a80af77543,AWAITING REVIEW,2023-01-02T11:17:15.062000Z,2023-01-02T11:46:28.052000Z,,2023-01-02T11:46:28.412435Z,1753,C15BMR3K,322,"Hungarian, English",19,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Other
