Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63b2b5deea957c00104ba386,611117ea84801df4f0186653,AWAITING REVIEW,2023-01-02T10:45:50.049000Z,2023-01-02T12:33:23.745000Z,,2023-01-02T12:33:24.234992Z,6454,C15BMR3K,208,"English, German, Polish",27,Female,White,Poland,Poland,Poland,Polish,Yes,Other
63b2b5e7cb25150da656751c,608adf0cc8637f7f395352b1,AWAITING REVIEW,2023-01-02T10:45:59.502000Z,2023-01-02T11:14:09.143000Z,,2023-01-02T11:14:09.484932Z,1690,C15BMR3K,234,"English, Hungarian",22,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Unemployed (and job seeking)
63b2b5e81b87b08df16f29c9,5eb6f85c1c54b4067b4ba65d,AWAITING REVIEW,2023-01-02T10:46:00.870000Z,2023-01-02T11:26:17.311000Z,,2023-01-02T11:26:17.929953Z,2417,C15BMR3K,314,"English, Polish",22,Female,White,Poland,Poland,Poland,Polish,Yes,Full-Time
63b2b5eb92c5b143bf5a27f2,6159f4693b35c9be450d6d69,AWAITING REVIEW,2023-01-02T10:46:03.670000Z,2023-01-02T12:22:51.716000Z,,2023-01-02T12:22:52.158012Z,5809,C15BMR3K,123,English,29,Female,Black,South Africa,South Africa,South Africa,English,No,Other
63b2b5ef70eb96ed7f666fe2,616db50bfd1eb7408ebf7fe4,AWAITING REVIEW,2023-01-02T10:46:07.197000Z,2023-01-02T12:06:31.617000Z,,2023-01-02T12:06:32.032719Z,4825,C15BMR3K,51,English,38,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
63b2b5efaf13a566aea48c82,604e202a885d13cdcdee5600,AWAITING REVIEW,2023-01-02T10:46:07.986000Z,2023-01-02T11:54:48.938000Z,,2023-01-02T11:54:49.325531Z,4121,C15BMR3K,40,English,38,Male,Asian,United States,Canada,Canada,English,No,Full-Time
63b2b5f12d59d40a8b3a6468,6070c2f8aa9a08d466b86d5c,AWAITING REVIEW,2023-01-02T10:46:09.971000Z,2023-01-02T11:17:44.394000Z,,2023-01-02T11:17:44.783902Z,1895,C15BMR3K,199,"Polish, English",20,Male,White,Poland,Poland,Poland,Polish,Yes,Other
63b2b5f190b2df5b35b9df0c,5909f8b6bc185d00011aa307,AWAITING REVIEW,2023-01-02T10:46:09.413000Z,2023-01-02T11:54:15.800000Z,,2023-01-02T11:54:16.213322Z,4087,C15BMR3K,48,"English, Hungarian",36,Female,White,Hungary,Hungary,Hungary,Hungarian,No,Full-Time
63b2b5f1f6368e81fd65d6af,611bb577934acb758f163193,AWAITING REVIEW,2023-01-02T10:46:36.699000Z,2023-01-02T11:21:04.131000Z,,2023-01-02T11:21:04.680077Z,2068,C15BMR3K,175,"English, Polish",20,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
63b2b5f2f26cb523fe0ce08b,5e4949035607633bb4759ffe,AWAITING REVIEW,2023-01-02T10:46:10.741000Z,2023-01-02T11:13:53.662000Z,,2023-01-02T11:13:54.085200Z,1663,C15BMR3K,315,"English, German, Polish",27,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
63b2b5f4e4b21f400aa95c18,61238c1dda868e2a0e827fc6,AWAITING REVIEW,2023-01-02T10:46:12.107000Z,2023-01-02T12:01:12.586000Z,,2023-01-02T12:01:12.899660Z,4501,C15BMR3K,71,"Afrikaans, English",22,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
63b2b5f5156548b540b37daa,6140ff9c5750f0081ca8d71f,AWAITING REVIEW,2023-01-02T10:46:13.146000Z,2023-01-02T11:23:09.735000Z,,2023-01-02T11:23:10.072623Z,2217,C15BMR3K,52,"Hungarian, English",21,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Other
63b2b5f675404a759f8a59a9,6106692c478cb3f1603657ed,AWAITING REVIEW,2023-01-02T10:55:01.928000Z,2023-01-02T11:59:11.174000Z,,2023-01-02T11:59:11.565775Z,3850,NOCODE,113,English,21,Female,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
63b2b5f84384228365d42f0f,5e1647f6f52510000a7389b6,AWAITING REVIEW,2023-01-02T10:46:16.304000Z,2023-01-02T11:27:26.242000Z,,2023-01-02T11:27:26.609282Z,2470,C15BMR3K,313,"English, Polish",37,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
63b2b5f87f602cfefe6f29ef,608ed0b2151eb07ffc41e503,AWAITING REVIEW,2023-01-02T10:46:49.934000Z,2023-01-02T11:27:49.759000Z,,2023-01-02T11:27:50.218389Z,2460,C15BMR3K,148,"English, Portuguese, Spanish",23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
63b2b5f8a9ec5ff45f3672f4,6159c7b1663240e33767514a,AWAITING REVIEW,2023-01-02T10:46:16.637000Z,2023-01-02T11:50:48.278000Z,,2023-01-02T11:50:48.658402Z,3872,C15BMR3K,194,English,30,Female,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
63b2b5fec923c44f7b0ce07d,616ebd2384774422663d1bb3,AWAITING REVIEW,2023-01-02T10:46:22.319000Z,2023-01-02T11:25:34.014000Z,,2023-01-02T11:25:34.357432Z,2352,C15BMR3K,223,"English, Spanish",26,Female,White,Spain,Spain,Spain,Spanish,No,Part-Time
63b2b60176398f26beb37daf,5f1e9c0c2c833f42a6afc2a4,AWAITING REVIEW,2023-01-02T10:46:24.995000Z,2023-01-02T11:33:38.973000Z,,2023-01-02T11:33:39.335349Z,2834,C15BMR3K,160,"Polish, English",20,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
63b2b60276398f26beb37db0,610538ff03d45b7e20fcd536,AWAITING REVIEW,2023-01-02T10:46:26.104000Z,2023-01-02T11:58:52.618000Z,,2023-01-02T11:58:53.043969Z,4347,C15BMR3K,75,English,28,Female,Black,South Africa,South Africa,South Africa,English,No,DATA_EXPIRED
63b2ca9ae993db4bb0e458f5,5c0333c84e1b7b00016a83fd,AWAITING REVIEW,2023-01-02T12:15:35.873000Z,2023-01-02T12:43:21.724000Z,,2023-01-02T12:43:22.168629Z,1666,C15BMR3K,485,"English, Portuguese",24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
