Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63b2c17e6a26fda0ab65da8c,5f84a3166ec3b5138293d948,AWAITING REVIEW,2023-01-02T11:35:26.962000Z,2023-01-02T11:59:56.528000Z,,2023-01-02T11:59:56.896485Z,1470,C15BMR3K,95,"Portuguese, English",27,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
63b2c1843c98453d231ac3dc,605bb96c5facde74270615aa,AWAITING REVIEW,2023-01-02T11:35:32.172000Z,2023-01-02T12:50:39.054000Z,,2023-01-02T12:50:39.435620Z,4507,C15BMR3K,186,"English, German, Polish",22,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
63b2c18a59f26b0182a2789e,5d9487e7c53cec001cfbf937,AWAITING REVIEW,2023-01-02T11:35:38.317000Z,2023-01-02T12:19:56.667000Z,,2023-01-02T12:19:57.064764Z,2659,C15BMR3K,296,"English, Greek",26,Female,White,Greece,Greece,Greece,Greek,No,Full-Time
63b2c18a7071ddc1b09cf4df,5e1e3898753e43085dbc3d71,AWAITING REVIEW,2023-01-02T11:45:11.506000Z,2023-01-02T12:19:43.612000Z,,2023-01-02T12:19:43.980439Z,2073,C15BMR3K,75,"English, Portuguese",23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
63b2c18b614d09040ea48c65,606b510f116c085254237946,AWAITING REVIEW,2023-01-02T11:35:39.315000Z,2023-01-02T12:26:39.542000Z,,2023-01-02T12:26:39.889699Z,3061,C15BMR3K,108,"Hungarian, English",20,Male,White,Hungary,Hungary,Hungary,Hungarian,DATA_EXPIRED,DATA_EXPIRED
63b2c18c1f260b8b6d26b801,6038e63a1713653046ef7482,AWAITING REVIEW,2023-01-02T11:35:54.171000Z,2023-01-02T12:09:38.966000Z,,2023-01-02T12:09:39.274921Z,2025,C15BMR3K,194,"English, Polish",39,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
63b2c18de81f877420ad914d,61157d170c26d85a7eb04dfa,AWAITING REVIEW,2023-01-02T11:35:46.454000Z,2023-01-02T13:25:24.370000Z,,2023-01-02T13:25:24.885501Z,6578,C15BMR3K,178,English,33,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
63b2c1937f945253009cf502,601958c0af6453017a0cbbd4,AWAITING REVIEW,2023-01-02T11:35:59.216000Z,2023-01-02T12:40:20.575000Z,,2023-01-02T12:40:21.002380Z,3862,C15BMR3K,148,"Afrikaans, English",23,Female,Black,South Africa,South Africa,South Africa,English,No,Part-Time
63b2c195a506c69093ad910f,5c573e54e9813700018acc31,AWAITING REVIEW,2023-01-02T11:35:49.885000Z,2023-01-02T12:30:16.180000Z,,2023-01-02T12:30:16.506294Z,3267,C15BMR3K,726,"English, Portuguese",29,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
63b2c19a74dd2fe3dd5a27e0,614ee8ddba7641d7696ab82a,AWAITING REVIEW,2023-01-02T11:36:52.971000Z,2023-01-02T13:12:49.612000Z,,2023-01-02T13:12:50.063059Z,5757,C15BMR3K,148,"Afrikaans, English",26,Female,Mixed,South Africa,South Africa,South Africa,Afrikaans,Yes,Full-Time
