rule,pid,condition,famInd,trialsComplete
fi,565c40fbc121fe0005fc3b62,blocked,1,1
fi,565c40fbc121fe0005fc3b62,blocked,1,2
fi,565c40fbc121fe0005fc3b62,blocked,1,3
fi,565c40fbc121fe0005fc3b62,blocked,1,4
fi,565c40fbc121fe0005fc3b62,blocked,1,5
fi,565c40fbc121fe0005fc3b62,blocked,1,6
fi,565c40fbc121fe0005fc3b62,blocked,1,7
fi,565c40fbc121fe0005fc3b62,blocked,1,8
fi,565c40fbc121fe0005fc3b62,blocked,1,9
fi,565c40fbc121fe0005fc3b62,blocked,1,10
fi,565c40fbc121fe0005fc3b62,blocked,1,11
fi,565c40fbc121fe0005fc3b62,blocked,1,12
fi,565c40fbc121fe0005fc3b62,blocked,1,13
fi,565c40fbc121fe0005fc3b62,blocked,1,14
fi,565c40fbc121fe0005fc3b62,blocked,1,15
fi,565c40fbc121fe0005fc3b62,blocked,1,16
fi,565c40fbc121fe0005fc3b62,blocked,1,17
fi,565c40fbc121fe0005fc3b62,blocked,1,18
fi,565c40fbc121fe0005fc3b62,blocked,1,19
fi,565c40fbc121fe0005fc3b62,blocked,1,20
fi,565c40fbc121fe0005fc3b62,blocked,1,21
fi,565c40fbc121fe0005fc3b62,blocked,1,22
fi,565c40fbc121fe0005fc3b62,blocked,1,23
fi,565c40fbc121fe0005fc3b62,blocked,1,24
fi,565c40fbc121fe0005fc3b62,blocked,1,25
fi,565c40fbc121fe0005fc3b62,blocked,1,26
fi,565c40fbc121fe0005fc3b62,blocked,1,27
fi,565c40fbc121fe0005fc3b62,blocked,1,28
fi,565c40fbc121fe0005fc3b62,blocked,1,29
fi,565c40fbc121fe0005fc3b62,blocked,1,30
fi,565c40fbc121fe0005fc3b62,blocked,1,31
fi,565c40fbc121fe0005fc3b62,blocked,1,32
fi,565c40fbc121fe0005fc3b62,blocked,1,33
fi,565c40fbc121fe0005fc3b62,blocked,1,34
fi,565c40fbc121fe0005fc3b62,blocked,1,35
fi,565c40fbc121fe0005fc3b62,blocked,1,36
fi,565c40fbc121fe0005fc3b62,blocked,1,37
fi,565c40fbc121fe0005fc3b62,blocked,1,38
fi,565c40fbc121fe0005fc3b62,blocked,1,39
fi,565c40fbc121fe0005fc3b62,blocked,1,40
fi,565c40fbc121fe0005fc3b62,blocked,1,41
fi,565c40fbc121fe0005fc3b62,blocked,1,42
fi,565c40fbc121fe0005fc3b62,blocked,1,43
fi,565c40fbc121fe0005fc3b62,blocked,1,44
fi,565c40fbc121fe0005fc3b62,blocked,1,45
fi,565c40fbc121fe0005fc3b62,blocked,1,46
fi,565c40fbc121fe0005fc3b62,blocked,1,47
fi,565c40fbc121fe0005fc3b62,blocked,1,48
fi,565c40fbc121fe0005fc3b62,blocked,1,49
fi,565c40fbc121fe0005fc3b62,blocked,1,50
fi,565c40fbc121fe0005fc3b62,blocked,1,51
fi,565c40fbc121fe0005fc3b62,blocked,1,52
fi,565c40fbc121fe0005fc3b62,blocked,1,53
fi,565c40fbc121fe0005fc3b62,blocked,1,54
fi,565c40fbc121fe0005fc3b62,blocked,1,55
fi,565c40fbc121fe0005fc3b62,blocked,1,56
fi,565c40fbc121fe0005fc3b62,blocked,1,57
fi,565c40fbc121fe0005fc3b62,blocked,1,58
fi,565c40fbc121fe0005fc3b62,blocked,1,59
fi,565c40fbc121fe0005fc3b62,blocked,1,60
fi,565c40fbc121fe0005fc3b62,blocked,3,61
fi,565c40fbc121fe0005fc3b62,blocked,3,62
fi,565c40fbc121fe0005fc3b62,blocked,3,63
fi,565c40fbc121fe0005fc3b62,blocked,3,64
fi,565c40fbc121fe0005fc3b62,blocked,3,65
fi,565c40fbc121fe0005fc3b62,blocked,3,66
fi,565c40fbc121fe0005fc3b62,blocked,3,67
fi,565c40fbc121fe0005fc3b62,blocked,3,68
fi,565c40fbc121fe0005fc3b62,blocked,3,69
fi,565c40fbc121fe0005fc3b62,blocked,3,70
fi,565c40fbc121fe0005fc3b62,blocked,3,71
fi,565c40fbc121fe0005fc3b62,blocked,3,72
fi,565c40fbc121fe0005fc3b62,blocked,3,73
fi,565c40fbc121fe0005fc3b62,blocked,3,74
fi,565c40fbc121fe0005fc3b62,blocked,3,75
fi,565c40fbc121fe0005fc3b62,blocked,3,76
fi,565c40fbc121fe0005fc3b62,blocked,3,77
fi,565c40fbc121fe0005fc3b62,blocked,3,78
fi,565c40fbc121fe0005fc3b62,blocked,3,79
fi,565c40fbc121fe0005fc3b62,blocked,3,80
fi,565c40fbc121fe0005fc3b62,blocked,3,81
fi,565c40fbc121fe0005fc3b62,blocked,3,82
fi,565c40fbc121fe0005fc3b62,blocked,3,83
fi,565c40fbc121fe0005fc3b62,blocked,3,84
fi,565c40fbc121fe0005fc3b62,blocked,3,85
fi,565c40fbc121fe0005fc3b62,blocked,3,86
fi,565c40fbc121fe0005fc3b62,blocked,3,87
fi,565c40fbc121fe0005fc3b62,blocked,3,88
fi,565c40fbc121fe0005fc3b62,blocked,3,89
fi,565c40fbc121fe0005fc3b62,blocked,3,90
fi,565c40fbc121fe0005fc3b62,blocked,3,91
fi,565c40fbc121fe0005fc3b62,blocked,3,92
fi,565c40fbc121fe0005fc3b62,blocked,3,93
fi,565c40fbc121fe0005fc3b62,blocked,3,94
fi,565c40fbc121fe0005fc3b62,blocked,3,95
